contrato_id,barrio,nombre_titular,edad_titular,sexo,vive_solo,n_personas_hogar,telefono_contacto,direccion_sintetica
CTR-11-00000,11-CIUDAD DE ASIS,Mercedes Muñoz Flores,68,F,False,3,+34 664 520 473,"C/ Rio Turia 20, 1o D"
CTR-21-00001,21-ALIPARK,Luisa Castro Delgado,32,F,False,3,+34 630 841 796,"C/ Poeta Zorrilla 18, 2o C"
CTR-17-00002,17-CAROLINAS ALTAS,Antonio Martinez Perez,40,M,False,2,+34 650 637 905,"C/ Pintor Murillo 42, 5o A"
CTR-24-00003,24-CASCO ANTIGUO,Ana Lopez Gonzalez,88,F,False,4,+34 627 582 765,"C/ Labradores 15, 5o B"
CTR-17-00004,17-CAROLINAS ALTAS,Luis Blanco Molina,86,M,False,2,+34 662 591 383,"C/ Doctor Just 22, 3o D"
CTR-15-00005,15-POLIGONO SAN BLAS,Miguel Alvarez Hernandez,36,M,True,1,+34 633 547 226,"C/ Escritor Azorín 44, 4o C"
CTR-16-00006,16-PLA DEL BON REPOS,Carmen Martinez Perez,63,F,True,1,+34 610 742 938,"C/ Escritor Azorin 13, 4o A"
CTR-13-00007,13-SAN GABRIEL,Alejandro Garrido Santos,34,M,False,4,+34 652 289 576,"C/ Jaime I 39, 4o A"
CTR-12-00008,12-POLIGONO BABEL,Vicente Herrera Iglesias,50,M,False,4,+34 689 128 229,"C/ Uruguay 37, 1o B"
CTR-21-00009,21-ALIPARK,Aurora Garrido Santos,33,F,False,4,+34 635 363 392,"Av. Locutor Vicente Hipólito 19, 1o A"
CTR-21-00010,21-ALIPARK,Maria Garcia Lopez,86,F,True,1,+34 673 837 170,"C/ Deportista Moro 31, 3o C"
CTR-12-00011,12-POLIGONO BABEL,Encarnacion Gil Rubio,52,F,False,2,+34 672 462 738,"C/ Ecuador 25, 4o C"
CTR-23-00012,23-CENTRO TRADICIONAL,Dolores Romero Torres,69,F,True,1,+34 680 985 745,"C/ Bazán 33, 4o A"
CTR-21-00013,21-ALIPARK,Manuel Fernandez Sanchez,71,M,False,4,+34 676 520 837,"C/ Poeta Zorrilla 43, 2o A"
CTR-21-00014,21-ALIPARK,Luis Blanco Molina,31,M,False,3,+34 656 460 806,"C/ Deportista Moro 32, 2o A"
CTR-12-00015,12-POLIGONO BABEL,Ramon Gutierrez Vazquez,67,M,False,2,+34 637 436 246,"C/ Ecuador 23, 5o C"
CTR-24-00016,24-CASCO ANTIGUO,Enrique Medina Castillo,69,M,False,3,+34 611 738 957,"C/ San Rafael 11, 3o B"
CTR-16-00017,16-PLA DEL BON REPOS,Angel Romero Torres,32,M,False,4,+34 681 509 958,"C/ Virgen de la Cabeza 29, 1o B"
CTR-16-00018,16-PLA DEL BON REPOS,Fernando Muñoz Flores,43,M,False,3,+34 649 937 350,"C/ Virgen de la Cabeza 7, 1o D"
CTR-22-00019,22-ALTOZANO,Dolores Romero Torres,58,F,False,4,+34 653 396 542,"C/ Teniente Alvarez Soto 35, 3o D"
CTR-22-00020,22-ALTOZANO,Emilio Ortiz Marin,26,M,False,2,+34 632 819 441,"C/ Teniente Alvarez Soto 26, 5o B"
CTR-12-00021,12-POLIGONO BABEL,Rosa Alvarez Hernandez,49,F,False,4,+34 622 168 297,"C/ Ecuador 15, 4o A"
CTR-14-00022,14-ENSANCHE DIPUTACION,Vicente Herrera Iglesias,27,M,False,4,+34 681 909 107,"Av. Alfonso el Sabio 3, 5o B"
CTR-21-00023,21-ALIPARK,Ramon Gutierrez Vazquez,25,M,False,3,+34 624 211 259,"C/ Poeta Zorrilla 24, 4o D"
CTR-16-00024,16-PLA DEL BON REPOS,Luis Blanco Molina,37,M,False,2,+34 670 928 984,"C/ Virgen de la Cabeza 8, 2o B"
CTR-20-00025,20-BENALUA,Mercedes Muñoz Flores,87,F,True,1,+34 661 343 457,"C/ Churruca 44, 5o A"
CTR-18-00026,18-CAROLINAS BAJAS,Teresa Moreno Jimenez,69,F,False,2,+34 611 710 754,"C/ Reyes Catolicos 34, 2o B"
CTR-18-00027,18-CAROLINAS BAJAS,Emilia Ortiz Marin,36,F,False,4,+34 626 696 321,"C/ Italia 33, 2o C"
CTR-24-00028,24-CASCO ANTIGUO,Ramon Gutierrez Vazquez,69,M,True,1,+34 624 679 655,"C/ Labradores 24, 5o B"
CTR-13-00029,13-SAN GABRIEL,Emilio Ortiz Marin,46,M,False,3,+34 623 644 470,"C/ Jaime I 14, 5o C"
CTR-22-00030,22-ALTOZANO,Isabel Serrano Ramos,33,F,False,4,+34 669 545 779,"C/ Teniente Alvarez Soto 13, 3o A"
CTR-14-00031,14-ENSANCHE DIPUTACION,Mercedes Muñoz Flores,62,F,False,3,+34 651 723 875,"C/ Foglietti 38, 3o D"
CTR-24-00032,24-CASCO ANTIGUO,Encarnacion Gil Rubio,44,F,False,3,+34 614 606 406,"C/ Maldonado 7, 3o C"
CTR-19-00033,19-GARBINET,Mercedes Muñoz Flores,89,F,True,1,+34 673 852 514,"C/ Alcalde Suárez Llanos 43, 2o B"
CTR-11-00034,11-CIUDAD DE ASIS,Juan Ruiz Diaz,49,M,False,2,+34 678 407 288,"C/ Rio Turia 32, 4o A"
CTR-11-00035,11-CIUDAD DE ASIS,Isabel Serrano Ramos,30,F,False,2,+34 664 909 934,"C/ Rio Jucar 28, 1o B"
CTR-24-00036,24-CASCO ANTIGUO,Salvador Gil Rubio,55,M,False,3,+34 620 790 281,"C/ Mayor 16, 2o D"
CTR-12-00037,12-POLIGONO BABEL,Emilia Ortiz Marin,43,F,False,4,+34 638 377 720,"C/ Uruguay 29, 5o D"
CTR-20-00038,20-BENALUA,Maria Garcia Lopez,48,F,False,3,+34 696 824 416,"C/ Churruca 32, 1o A"
CTR-19-00039,19-GARBINET,Fernando Muñoz Flores,40,M,True,1,+34 670 377 985,"C/ Alcalde Suárez Llanos 1, 2o B"
CTR-15-00040,15-POLIGONO SAN BLAS,Francisco Lopez Gonzalez,65,M,False,3,+34 617 792 642,"C/ Rio Manzanares 8, 4o C"
CTR-23-00041,23-CENTRO TRADICIONAL,Rosa Alvarez Hernandez,30,F,True,1,+34 670 985 932,"C/ San Fernando 40, 5o C"
CTR-13-00042,13-SAN GABRIEL,Fernando Muñoz Flores,91,M,False,3,+34 690 778 157,"C/ Ingeniero Canales 10, 3o B"
CTR-20-00043,20-BENALUA,Dolores Romero Torres,72,F,True,1,+34 696 809 558,"C/ Arquitecto Morell 4, 5o B"
CTR-11-00044,11-CIUDAD DE ASIS,Vicente Herrera Iglesias,67,M,True,1,+34 658 577 563,"C/ Rio Turia 19, 4o D"
CTR-16-00045,16-PLA DEL BON REPOS,Emilia Ortiz Marin,80,F,True,1,+34 658 342 816,"C/ Virgen de la Cabeza 44, 2o A"
CTR-16-00046,16-PLA DEL BON REPOS,Angel Romero Torres,89,M,True,1,+34 655 395 702,"C/ Escritor Azorin 24, 5o B"
CTR-22-00047,22-ALTOZANO,Pedro Moreno Jimenez,25,M,False,2,+34 634 788 574,"C/ Alfonso el Sabio 15, 5o A"
CTR-12-00048,12-POLIGONO BABEL,Fernando Muñoz Flores,86,M,True,1,+34 670 743 627,"C/ Ecuador 25, 2o D"
CTR-18-00049,18-CAROLINAS BAJAS,Antonio Martinez Perez,30,M,False,3,+34 610 988 740,"C/ Garbinet 14, 5o A"
CTR-12-00050,12-POLIGONO BABEL,Manuel Fernandez Sanchez,29,M,False,3,+34 610 249 878,"C/ Ecuador 21, 2o C"
CTR-17-00051,17-CAROLINAS ALTAS,Miguel Alvarez Hernandez,69,M,False,3,+34 652 111 928,"C/ Azorin 20, 2o C"
CTR-21-00052,21-ALIPARK,Manuel Fernandez Sanchez,65,M,False,2,+34 623 510 699,"C/ Poeta Zorrilla 19, 3o B"
CTR-12-00053,12-POLIGONO BABEL,Vicente Herrera Iglesias,59,M,False,2,+34 639 546 881,"C/ Ecuador 35, 1o D"
CTR-14-00054,14-ENSANCHE DIPUTACION,Salvador Gil Rubio,40,M,False,3,+34 686 424 236,"C/ Foglietti 6, 5o A"
CTR-10-00055,10-FLORIDA BAJA,Manuel Fernandez Sanchez,51,M,False,2,+34 611 386 806,"C/ Canalejas 19, 1o C"
CTR-14-00056,14-ENSANCHE DIPUTACION,Jose Garcia Lopez,29,M,False,2,+34 633 275 160,"C/ Doctor Gadea 40, 5o A"
CTR-17-00057,17-CAROLINAS ALTAS,Ramon Gutierrez Vazquez,61,M,False,3,+34 625 246 515,"C/ Pintor Murillo 14, 1o A"
CTR-22-00058,22-ALTOZANO,Joaquin Suarez Ortega,89,M,True,1,+34 664 531 947,"C/ Bono Guarner 27, 5o A"
CTR-14-00059,14-ENSANCHE DIPUTACION,Teresa Moreno Jimenez,39,F,False,3,+34 689 627 371,"C/ Doctor Gadea 36, 2o D"
CTR-15-00060,15-POLIGONO SAN BLAS,Rafael Navarro Dominguez,83,M,True,1,+34 669 959 584,"C/ Escritor Azorín 25, 5o C"
CTR-22-00061,22-ALTOZANO,Francisco Lopez Gonzalez,26,M,False,3,+34 635 408 844,"C/ Teniente Alvarez Soto 27, 5o A"
CTR-19-00062,19-GARBINET,Concepcion Navarro Dominguez,45,F,False,4,+34 662 165 283,"C/ Catedratico Soler 8, 4o A"
CTR-20-00063,20-BENALUA,Isabel Serrano Ramos,34,F,False,2,+34 627 453 644,"C/ Churruca 3, 1o B"
CTR-14-00064,14-ENSANCHE DIPUTACION,Ramon Gutierrez Vazquez,41,M,False,3,+34 657 811 537,"C/ Foglietti 41, 3o A"
CTR-11-00065,11-CIUDAD DE ASIS,Carmen Martinez Perez,34,F,False,3,+34 651 388 360,"C/ Rio Mundo 21, 3o D"
CTR-18-00066,18-CAROLINAS BAJAS,Carmen Martinez Perez,38,F,False,4,+34 657 916 998,"C/ Italia 22, 1o A"
CTR-15-00067,15-POLIGONO SAN BLAS,Isabel Serrano Ramos,56,F,False,2,+34 644 789 697,"C/ Vistahermosa 6, 3o A"
CTR-19-00068,19-GARBINET,Antonia Suarez Ortega,88,F,True,1,+34 683 709 240,"C/ Jose Maria Py 12, 2o C"
CTR-14-00069,14-ENSANCHE DIPUTACION,Ana Lopez Gonzalez,45,F,False,3,+34 684 494 414,"C/ Doctor Gadea 35, 2o C"
CTR-17-00070,17-CAROLINAS ALTAS,Maria Garcia Lopez,78,F,True,1,+34 613 762 105,"C/ Azorin 14, 2o B"
CTR-10-00071,10-FLORIDA BAJA,Francisca Gutierrez Vazquez,68,F,False,3,+34 621 920 822,"C/ Poeta Vila y Blanco 11, 1o A"
CTR-22-00072,22-ALTOZANO,Antonio Martinez Perez,53,M,False,3,+34 664 815 538,"C/ Teniente Alvarez Soto 7, 1o A"
CTR-23-00073,23-CENTRO TRADICIONAL,Consuelo Herrera Iglesias,87,F,True,1,+34 613 788 480,"C/ Gerona 35, 3o C"
CTR-15-00074,15-POLIGONO SAN BLAS,Salvador Gil Rubio,68,M,False,4,+34 660 766 568,"C/ Rio Manzanares 22, 1o A"
CTR-19-00075,19-GARBINET,Francisca Gutierrez Vazquez,42,F,True,1,+34 610 828 678,"C/ Jose Maria Py 15, 3o C"
CTR-10-00076,10-FLORIDA BAJA,Enrique Medina Castillo,38,M,False,2,+34 639 453 443,"C/ Garcia Morato 37, 1o C"
CTR-24-00077,24-CASCO ANTIGUO,Francisco Lopez Gonzalez,84,M,True,1,+34 625 747 670,"C/ Labradores 7, 1o A"
CTR-21-00078,21-ALIPARK,Francisco Lopez Gonzalez,59,M,False,4,+34 669 172 954,"C/ Poeta Zorrilla 38, 5o C"
CTR-12-00079,12-POLIGONO BABEL,Alejandro Garrido Santos,62,M,False,2,+34 670 436 811,"C/ Chile 6, 5o A"
CTR-24-00080,24-CASCO ANTIGUO,Ana Lopez Gonzalez,31,F,False,2,+34 652 433 549,"C/ Mayor 44, 1o B"
CTR-21-00081,21-ALIPARK,Enrique Medina Castillo,26,M,False,3,+34 653 850 901,"C/ Poeta Zorrilla 5, 3o A"
CTR-12-00082,12-POLIGONO BABEL,Ana Lopez Gonzalez,85,F,False,2,+34 672 506 370,"C/ Peru 26, 4o A"
CTR-13-00083,13-SAN GABRIEL,Mercedes Muñoz Flores,43,F,False,3,+34 690 836 172,"C/ Virgen del Socorro 13, 5o B"
CTR-23-00084,23-CENTRO TRADICIONAL,Amparo Medina Castillo,55,F,False,3,+34 634 837 498,"C/ Castaños 27, 1o C"
CTR-20-00085,20-BENALUA,Luisa Castro Delgado,54,F,False,4,+34 687 488 450,"C/ Isabel la Católica 44, 5o B"
CTR-11-00086,11-CIUDAD DE ASIS,Fernando Muñoz Flores,77,M,True,1,+34 661 507 888,"C/ Rio Segura 3, 2o A"
CTR-21-00087,21-ALIPARK,Rosa Alvarez Hernandez,64,F,False,3,+34 651 842 811,"Av. Locutor Vicente Hipólito 22, 3o B"
CTR-24-00088,24-CASCO ANTIGUO,Antonio Martinez Perez,29,M,True,1,+34 672 669 305,"C/ Mayor 14, 5o D"
CTR-14-00089,14-ENSANCHE DIPUTACION,Enrique Medina Castillo,55,M,False,2,+34 615 983 262,"C/ Doctor Gadea 15, 4o D"
CTR-24-00090,24-CASCO ANTIGUO,Amparo Medina Castillo,32,F,False,2,+34 630 321 688,"C/ Labradores 14, 3o C"
